sample,ENSG00000157150.4,ENSG00000139618.14,ENSG00000133687.15,ENSG00000082175.14,ENSG00000012048.19,ENSG00000140009.18,ENSG00000196569.11,ENSG00000091831.21,ENSG00000107485.15,ENSG00000141736.13
TCGA-EW-A2FV-01,-0.1665,1.8404,1.7097,2.2206,1.5709,-3.1714,2.5388,5.1040,7.6470,6.0646
TCGA-GM-A3XG-01,0.3115,-2.8262,3.1507,4.2847,0.6332,-2.4659,1.3735,3.8391,7.2383,6.9530
TCGA-B6-A0I9-01,-3.8160,1.7702,-0.2671,-1.6394,2.6067,-4.0350,0.4125,6.4521,8.1131,11.1616
TCGA-E2-A1L9-01,0.6517,1.1577,0.1648,3.0234,2.0183,-3.8160,1.4388,6.2367,8.3112,5.8600
TCGA-AR-A1AP-01,1.2209,1.1117,0.6425,0.1648,2.0395,-4.6082,1.8160,6.2495,8.8015,6.7221
TCGA-BH-A0H5-01,1.0007,0.7999,1.1512,1.8643,1.8840,-1.3183,2.4701,5.4542,6.9666,6.1603
TCGA-OK-A5Q2-01,1.5064,0.9789,2.7615,-0.1504,2.7742,-2.6349,2.9413,5.3534,7.7184,7.6636
TCGA-BH-A0E6-01,2.4675,-0.1993,-0.0725,-2.6349,1.7786,-3.1714,0.2522,1.3167,5.4383,5.6191
TCGA-D8-A1JA-01,-3.0469,1.2023,0.1776,-3.8160,1.1117,-3.3076,1.1512,-0.2671,5.8620,9.6901
TCGA-BH-A0BW-01,-2.4659,1.8683,-0.7588,-4.6082,3.1162,-4.0350,-1.2481,2.0465,4.3191,6.5251
TCGA-AO-A0JG-01,0.0014,0.2154,1.2147,0.0580,0.6880,-3.0469,2.9243,6.3087,9.7610,6.3109
TCGA-LL-A442-01,2.2391,0.5470,1.1250,4.6793,2.9205,-2.7274,-4.0350,8.0404,8.3613,6.8259
TCGA-B6-A0WZ-01,2.3280,-0.1187,-1.9942,4.5796,2.1080,-4.6082,-0.5756,6.5898,7.7379,6.4222
TCGA-C8-A135-01,0.9419,1.2636,3.0199,-2.4659,1.7575,-3.0469,1.6830,-0.8863,5.4407,9.9827
TCGA-AC-A2FE-01,2.2693,1.1577,1.0079,1.4859,1.8762,-3.0469,3.2205,5.0764,7.4565,6.7110
TCGA-BH-A0E2-01,-0.2159,1.5661,0.5955,2.3251,1.4011,-2.4659,1.8524,6.0693,8.8325,5.2574
TCGA-BH-A0BJ-01,-0.0725,0.0300,0.8961,4.2743,1.5064,-3.0469,2.8916,5.5233,7.9778,6.6470
TCGA-BH-A203-01,1.3511,2.2206,1.1447,-3.0469,1.8119,-1.7809,1.1833,1.2696,6.8139,5.4009
TCGA-BH-A0C7-01,0.8408,1.6093,1.8683,-0.3940,4.3499,-3.8160,2.7117,7.7362,8.4401,7.2377
TCGA-AR-A1AR-01,1.8404,2.4063,5.6191,-3.8160,3.1765,-2.1779,1.7489,2.6783,5.9023,4.2009
TCGA-D8-A13Z-01,-1.9942,1.7316,0.8883,-2.0529,2.7721,-3.0469,1.4335,-0.9406,0.8408,5.5916
TCGA-BH-A0DV-11,2.2082,-0.2671,4.2728,1.6740,1.3397,-2.3884,2.8402,5.1132,5.9978,6.5488
TCGA-A7-A6VX-01,-1.4699,-0.3201,0.9268,-2.3884,2.0844,-3.8160,1.9377,6.7105,8.1015,6.2732
TCGA-AR-A1AT-01,-3.0469,1.1770,0.1124,-1.4699,2.6895,-4.2934,-0.7108,3.4791,7.3084,11.1415
TCGA-A2-A0CU-01,1.5266,-0.7108,1.0007,0.0854,2.9052,-5.0116,1.8524,7.7344,8.0244,7.2119
TCGA-BH-A0AZ-01,2.4727,-0.9406,1.7954,0.2522,1.4808,-3.3076,3.6382,4.5699,8.1241,5.8910
TCGA-BH-A1ET-11,5.1954,-0.6193,4.4350,3.0602,0.7058,-1.5522,4.0082,4.9691,6.7101,5.8780
TCGA-B6-A0IB-01,1.8762,-0.3383,1.0222,4.4490,2.2360,-3.0469,-0.4131,7.1201,8.0270,5.5720
TCGA-AC-A23H-11,4.5503,-0.2671,3.4477,0.9862,1.1117,-1.9379,4.4900,4.8665,5.7764,5.1330
TCGA-A2-A1G1-01,-3.6259,2.9394,3.5657,-2.3147,2.7051,-2.8262,1.1447,0.0718,3.8105,10.9507
TCGA-AC-A4ZE-01,4.8405,0.6332,1.4547,3.8471,2.8361,-1.9942,2.5487,7.3699,8.6451,7.0066
TCGA-B6-A0RS-01,0.1648,1.1897,0.9862,-2.8262,1.3791,-2.9324,-0.0425,-2.3884,6.3361,7.5848
TCGA-AR-A24H-01,-2.1779,-1.5522,-0.7108,1.6920,4.2646,-2.5479,0.2998,6.5630,8.1339,7.4342
TCGA-A8-A099-01,4.3744,1.1706,2.2019,4.5205,2.2175,-5.5735,1.6875,8.1634,7.9559,7.0764
TCGA-C8-A8HQ-01,0.2998,0.9568,1.2333,0.8246,2.5263,-2.6349,1.5998,4.2706,5.8166,6.4948
TCGA-AC-A23H-01,-1.0862,1.6920,-1.0262,-3.3076,2.1541,-4.2934,1.0433,1.0779,7.3487,10.2100
TCGA-A8-A09R-01,-1.7809,1.5165,0.0440,-0.9971,3.4424,-2.8262,1.7489,5.9713,8.1305,7.4135
TCGA-EW-A6SC-01,-0.2498,1.2333,2.6090,2.1509,1.5758,-4.6082,2.5658,6.9180,7.9604,6.2462
TCGA-BH-A0HU-01,0.1776,1.1316,-2.0529,1.6140,3.3032,-4.0350,0.0580,6.0038,7.4676,6.3489
