sample,ENSG00000163682.15,ENSG00000181449.3,ENSG00000179603.17,ENSG00000109670.13,ENSG00000133703.11,ENSG00000178568.13,ENSG00000079999.13,ENSG00000077782.19,ENSG00000159216.18,ENSG00000141510.15
TCGA-NC-A5HI-01,9.4558,6.4396,-3.0469,2.8740,3.9459,-4.2934,6.0422,2.8858,3.8360,5.2950
TCGA-77-A5G6-01,9.7038,6.8924,-4.0350,2.7721,3.7571,-4.6082,5.5012,3.6172,3.1620,5.6605
TCGA-22-5491-11,10.2890,-2.3147,-1.8314,2.5388,2.3871,-0.2328,5.0374,4.4667,2.9820,4.0462
TCGA-37-5819-01,10.3969,4.3527,-2.8262,3.6018,3.0110,-3.3076,5.9570,4.4108,2.6579,5.1627
TCGA-22-A5C4-01,10.0501,2.9710,-4.2934,2.9929,2.9262,-4.2934,4.3477,7.7427,3.5486,1.9931
TCGA-77-A5G3-01,8.7901,8.2353,-2.2447,2.8301,4.5429,-9.9658,6.3228,5.7258,4.6106,4.6387
TCGA-60-2714-01,10.4087,-2.2447,-1.7322,2.7270,2.8055,-5.0116,4.4660,2.2573,5.1306,5.2365
TCGA-18-4083-01,8.9548,8.1986,-0.7588,3.2826,3.7302,-5.0116,5.7814,4.2142,4.7856,4.8924
TCGA-43-8115-01,8.5378,6.4830,-1.1811,2.7183,3.5982,-5.5735,5.2873,5.2821,4.9635,4.5230
TCGA-33-AASI-01,10.6472,5.0536,-0.7834,2.4518,3.0757,-5.5735,5.4893,1.3109,3.1860,5.7764
TCGA-85-A4JC-01,10.3105,2.7636,-1.9379,1.9675,2.3337,-3.8160,5.8390,3.7421,3.1892,4.6485
TCGA-66-2785-01,10.6835,0.4447,-1.7322,2.0111,3.6370,-4.6082,7.1649,3.5161,3.2313,2.9692
TCGA-22-4605-01,8.7939,6.4007,-1.4305,2.2753,3.6737,-1.5951,6.0909,3.8391,4.3356,3.3731
TCGA-90-A4EE-01,9.4589,5.8048,-1.9379,2.4623,3.6983,-4.2934,5.6014,3.3379,4.1547,6.1771
TCGA-85-A50Z-01,9.2264,3.8905,-1.5522,2.1830,2.9432,-5.5735,5.2292,5.7312,2.8034,4.5626
TCGA-77-8008-11,9.3866,-0.2845,-2.2447,2.8916,3.1344,-0.7588,5.1123,5.2582,4.5167,4.9892
TCGA-NC-A5HL-01,8.6456,7.4417,-2.5479,2.9090,3.1844,-6.5064,6.8334,5.3274,3.8640,2.8361
TCGA-98-A538-01,8.5049,6.1202,-3.3076,3.5312,4.0153,-9.9658,5.8768,2.1862,4.1252,2.3592
