sample,ENSG00000145041.15,ENSG00000136997.14,ENSG00000139687.13,ENSG00000171862.9,ENSG00000169083.15,ENSG00000157557.11,ENSG00000157554.18,ENSG00000134954.14,ENSG00000141510.15
TCGA-ZG-A9M4-01,3.5608,3.7149,3.7378,4.3772,5.0790,3.8749,1.5266,3.6113,2.8137
TCGA-HC-7210-01,3.2752,5.8235,3.5694,4.3688,4.8048,5.3671,2.2452,4.3992,4.5460
TCGA-EJ-7797-11,2.7249,3.8228,4.0688,4.6358,3.8640,5.0352,1.9149,3.5035,4.1883
TCGA-EJ-7782-01,3.5875,4.9294,3.5584,4.6821,5.3751,3.3993,1.8201,3.8973,4.6988
TCGA-HC-A8CY-01,3.1212,5.2083,3.3689,4.2654,4.3392,2.5388,-0.1828,2.4960,1.2576
TCGA-EJ-7786-11,3.1971,5.5662,4.2465,5.2335,4.8033,6.2163,2.8280,4.6195,4.4310
TCGA-KK-A8II-01,3.7582,5.5919,3.3619,4.3944,4.3855,2.9692,6.8785,2.7007,4.2862
TCGA-EJ-5542-01,3.5706,5.5898,4.5650,3.6195,4.7394,4.1604,6.8468,3.9819,5.4353
TCGA-V1-A8MU-01,3.1145,4.9241,3.3105,4.1343,3.4251,5.1651,2.3788,4.0497,4.4654
TCGA-YL-A8HJ-01,3.0074,5.9186,3.3647,4.5442,3.6089,4.8827,7.3051,4.0969,4.3456
TCGA-G9-6329-01,2.8877,4.1875,2.6348,4.5021,3.5875,5.2536,7.7041,2.9911,4.8744
TCGA-J4-A67O-01,1.7954,4.2601,0.7058,3.9175,2.6510,3.6266,4.3470,1.4494,3.3883
TCGA-V1-A9OQ-01,2.5948,5.1518,2.1013,4.1939,3.0568,3.6635,1.6234,2.7401,4.2389
TCGA-ZG-A9LU-01,2.9052,4.3371,2.2299,4.0313,3.4061,4.9065,0.4125,2.3077,3.8461
TCGA-J4-A67Q-01,1.9452,4.3378,1.3623,3.7571,2.7951,4.1474,0.6239,1.4120,4.2320
TCGA-HC-A76X-01,3.3364,6.0583,3.4358,4.1086,4.0679,2.1798,6.9067,1.7617,5.6577
TCGA-QU-A6IP-01,2.5924,5.3650,2.9432,3.5374,3.8249,3.9270,6.2825,1.9564,4.9621
TCGA-V1-A9O9-01,3.2602,5.3377,3.0825,3.6725,3.9645,4.2056,7.1823,4.8851,3.9774
TCGA-XK-AAJA-01,3.0127,4.9397,2.6161,4.3002,4.3869,4.0082,0.6050,2.5996,4.6159
TCGA-EJ-A8FO-01,3.1813,4.2320,3.5971,4.2227,3.9874,4.4377,5.6262,3.3076,4.0225
TCGA-J4-A83I-01,3.3883,6.2128,2.7826,5.2747,4.1302,3.7127,7.0361,3.6277,4.1011
TCGA-HI-7169-01,1.4704,2.5363,1.6374,3.7667,2.5511,3.8002,4.1111,1.5316,4.2556
TCGA-J4-A67L-01,2.0946,4.0670,1.8484,4.1318,2.9148,3.6543,4.6662,2.0604,3.7291
TCGA-G9-6351-11,3.0688,3.7028,3.0074,4.0278,3.8177,5.5454,3.5047,2.7551,4.4033
TCGA-EJ-7115-01,3.1228,5.2377,3.3605,4.5626,4.2721,4.6306,1.8444,3.5098,4.9874
TCGA-XQ-A8TA-01,3.1653,7.7758,2.7314,3.8370,7.4538,5.9771,-0.3022,1.3623,5.4202
TCGA-G9-6499-11,3.0181,5.4407,3.5136,4.2526,3.5274,5.1684,0.3115,2.7007,4.7110
TCGA-G9-6365-11,2.7910,5.6801,2.7826,4.0549,2.9911,6.0959,-0.9971,2.2452,4.4977
TCGA-HC-7230-01,3.7940,6.0255,3.8827,3.3061,4.7437,3.8660,6.7714,3.1813,5.0131
